Booth #,Booth,Food name / description,Price,Notes,Category,id
9,Africa,"Berbere Style Beef with Onions, Jalapeños, Tomato, Okra and Pap",$4.25,DDP Snack Eligible,Food,afr-ber
9,Africa,Spinach and Paneer Cheese Pocket,$3.50,"Vegetarian, DDP Snack Eligible",Food,afr-spi
9,Africa,MAN Vintners Chenin Blanc,$2.50,,Beverage,afr-man
9,Africa,"The Wolftrap Red (Syrah, Mourvèdre, Viognier)",$2.50,,Beverage,afr-wol
9,Africa,Porcupine Ridge Syrah,$2.50,,Beverage,afr-por
15,American Adventure Coffee Cart,"Shakin’ Jamaican Coffee – Made with Kāhlua, Vanilla and Caramel. Served Hot or Frozen",$9.05,,Beverage,ame-sha
3,Argentina,Beef Empanada,$4.25,DDP Snack Eligible,Food,arg-bee
3,Argentina,Grilled Beef Skewer with Chimichurri Sauce and Boniato Purée,$5.25,DDP Snack Eligible,Food,arg-gri
3,Argentina,Pascual Toso Sparkling Brut,$2.50,,Beverage,arg-pas
3,Argentina,Terrazas Reserva Malbec,$3.75,,Beverage,arg-mal
3,Argentina,Terrazas Reserva Torrontes,$3.75,,Beverage,arg-tor
3,Argentina,Kaiken Cabernet Sauvignon,$3.00,,Beverage,arg-kai
4,Australia,"Garlic Shrimp with Roasted Tomatoes, Lemon Myrtle and Rapini",$4.50,DDP Snack Eligible,Food,aus-gar
4,Australia,Grilled Lamb Chop with Mint Pesto and Potato Crunchies,$6.00,DDP Snack Eligible,Food,aus-gri
4,Australia,Pavlova (Crispy Meringue Shell with Fresh Driscoll’s® Berries and Vanilla Custard),$3.25,"Vegetarian, DDP Snack Eligible",Dessert,aus-pav
4,Australia,Rosemount Estate Pinot Grigio,$2.50,,Beverage,aus-pin
4,Australia,Wolf Blass Gold Label Chardonnay,$4.25,,Beverage,aus-wol
4,Australia,Rosemount Estate Merlot,$2.50,,Beverage,aus-mer
4,Australia,Penfolds Bin 8 Cabernet Shiraz,$4.50,,Beverage,aus-pen
21,Belgium,Potato and Leek Waffle with Braised Beef,$4.00,DDP Snack Eligible,Food,bel-pot
21,Belgium,Belgian Waffle with Warm Chocolate Ganache and Whipped Cream,$3.25,DDP Snack Eligible,Dessert,bel-war
21,Belgium,Belgian Waffle with Berry Compote featuring Driscoll’s® Berries and Whipped Cream,$3.25,DDP Snack Eligible,Dessert,bel-ber
21,Belgium,Hoegaarden,$3.50-$6.75-$12.25,,Beverage,bel-hoe
21,Belgium,Stella Artois,$3.50-$6.75-$12.25,,Beverage,bel-ste
21,Belgium,Leffe Blonde,$3.50-$6.75-$12.25,,Beverage,bel-blo
21,Belgium,Leffe Brune,$3.50-$6.75-$12.25,,Beverage,bel-bru
21,Belgium,"Beer Flight: Hoegaarden, Stella Artois, Leffe Blonde, Leffe Brune",$13.00,,Beverage,bel-bee
21,Belgium,Chilled Coffee featuring Godiva Chocolate Liqueur,$7.50,,Beverage,bel-chi
21,Belgium,Minute Maid Light Lemonade,$2.75,DDP Snack Eligible,Beverage (Alcohol-free),bel-min
21,Belgium,Seagram’s Orange Sparking Water,$2.75,DDP Snack Eligible,Beverage (Alcohol-free),bel-sea
21,Belgium,Dasani Bottled Water,$2.50,DDP Snack Eligible,Beverage (Alcohol-free),bel-das
2,Brazil,"Seared Scallop with Ragout of Tomatoes, Peppers, Hearts of Palm and Steamed Rice",$4.25,DDP Snack Eligible,Food,bra-sea
2,Brazil,"Crispy Pork Belly with Black Beans, Onions, Avocado and Cilantro",$5.25,DDP Snack Eligible,Food,bra-cri
2,Brazil,Cerveharias Kaiser Brewery Xingu Black Beer,$6.25,,Beverage,bra-cer
2,Brazil,Carnaval Moscato White,$3.00,,Beverage,bra-car
2,Brazil,Frozen Caipirinha featuring LeBlon Cachaça,$8.25,,Beverage,bra-fro
11,Brewer’s Collection,Schöfferhofer Grapefruit,$3.50 – $6.75 – $12.25,*,Beverage,bre-sch
11,Brewer’s Collection,Altenmünster Oktoberfest,$3.50 – $6.75 – $12.25,*,Beverage,bre-alt
11,Brewer’s Collection,Warsteiner Premium Verum,$3.50 – $6.75 – $12.25,*,Beverage,bre-ver
11,Brewer’s Collection,Warsteiner Premium Dunkel,$3.50 – $6.75 – $12.25,*,Beverage,bre-dun
11,Brewer’s Collection,Radeberger Pilsner,$3.50 – $6.75 – $12.25,*,Beverage,bre-rad
11,Brewer’s Collection,BraufactuM Palor,$3.50 – $6.75 – $12.25,*,Beverage,bre-pal
11,Brewer’s Collection,BraufactuM Roog Smoked Wheat Beer,$3.50 – $6.75 – $12.25,*,Beverage,bre-roo
11,Brewer’s Collection,BraufactuM Darkon,$3.50 – $6.75 – $12.25,*,Beverage,bre-dar
11,Brewer’s Collection,"Beer Flight 1: Schöfferhofer Grapefruit, Altenmünster Oktoberfest, Warsteiner Premium Verum, Warsteiner Premium Dunkel",$13.00,,Beverage,bre-be1
11,Brewer’s Collection,"Beer Flight 2: Radeberger Pilsner, BraufactuM Palor, BraufactuM Roog Smoked Wheat Beer, BraufactuM Darkon",$13.00,,Beverage,bre-be2
24,Canada,Canadian Cheddar Cheese Soup,$4.25,DDP Snack Eligible,Food,can-can
24,Canada,"Seared Rainbow Trout with Bacon, Frisee and Maple Minus 8 Vinaigrette",$4.50,DDP Snack Eligible,Food,can-sea
24,Canada,“Le Cellier” Wild Mushroom Beef Filet Mignon with Truffle Butter Sauce,$7.00,DDP Snack Eligible,Food,can-lec
24,Canada,Moosehead Lager,$3.50 – $6.75 – $12.25,,Beverage,can-moo
24,Canada,La Face Neige Apple Ice Wine,$5.75,,Beverage,can-app
24,Canada,La Face Neige Sparkling,$6.00,,Beverage,can-spa
24,Canada,Mission Hill Family Estate Syrah,$5.25,,Beverage,can-mis
10,Cheese,Almond Crusted Blue Cheese Soufflé with Fig Jam,$3.25,"Vegetarian, DDP Snack Eligible",Food,che-alm
10,Cheese,"Artisan Cheese Selection: Flagship Reserve Cheddar, La Bonne Vie Triple Crème Brie, Wijngaard Goats Gouda",$4.75,"Vegetarian, DDP Snack Eligible",Food,che-art
10,Cheese,Once Upon a Vine’s The Lost Slipper Sauvignon Blanc,$2.50,,Beverage,che-los
10,Cheese,Once Upon a Vine’s The Fairest Chardonnay,$2.50,,Beverage,che-fai
10,Cheese,Once Upon a Vine’s The Big Bad Red Blend,$2.50,,Beverage,che-big
10,Cheese,Once Upon a Vine’s A Charming Pinot,$2.50,,Beverage,che-cha
7,China,Mongolian Beef in a Steamed Bun,$5.00,DDP Snack Eligible,Food,chi-mon
7,China,Black Pepper Shrimp with Sichuan Noodles,$5.50,DDP Snack Eligible,Food,chi-bla
7,China,Chicken Potstickers,$4.00,DDP Snack Eligible,Food,chi-chi
7,China,"Silky Spun Ice with Toppings (three flavors: Coconut, Strawberry, Chocolate)",$3.95,"Vegetarian, DDP Snack Eligible",Food,chi-sil
7,China,Tsing Tao Beer,$6.50,,Beverage,chi-tsi
7,China,Francis Ford Coppola Su Yuen Riesling,$3.50,,Beverage,chi-rie
7,China,Francis Ford Coppola Su Yuen Syrah,$3.50,,Beverage,chi-syr
7,China,Kung Fu Punch with Vodka,$8.00,,Beverage,chi-kun
7,China,Happy Lychee with Vodka,$8.00,,Beverage,chi-hap
7,China,Lychee Aerated Water,$3.00,DDP Snack Eligible,Beverage (Alcohol-free),chi-lyc
30,Craft Beers,"Dogfish Head Brewery, Namaste",$3.50 – $6.75 – $12.25,*,Beverage,cra-dog
30,Craft Beers,"Abita Brewing Company, Fall Fest",$3.50 – $6.75 – $12.25,*,Beverage,cra-abi
30,Craft Beers,"Leinenkugel’s® Seasonal Shandy, (Summer Shandy/Orange Shandy)",$3.50 – $6.75 – $12.25,*,Beverage,cra-lei
30,Craft Beers,"Florida Beer Company, Devil’s Triangle",$3.50 – $6.75 – $12.25,*,Beverage,cra-flo
30,Craft Beers,"New Belgium Brewing Company, Fat Tire",$3.50 – $6.75 – $12.25,*,Beverage,cra-new
30,Craft Beers,"Widmer Brothers Brewing®, Alchemy Ale",$3.50 – $6.75 – $12.25,*,Beverage,cra-wid
30,Craft Beers,"Red Hook, Audible Ale",$3.50 – $6.75 – $12.25,*,Beverage,cra-red
